t,asset,close
1771570800,eth,1958.95
1771574400,btc,67854.0
1771574400,eth,1958.9
1771578000,btc,68197.0
1771578000,eth,1966.95
1771581600,btc,67907.5
1771581600,eth,1955.65
1771585200,btc,67295.5
1771585200,eth,1942.75
1771588800,btc,67512.5
1771588800,eth,1948.5
1771592400,btc,66791.5
1771592400,eth,1933.35
1771596000,btc,67053.5
1771596000,eth,1942.45
1771599600,btc,67573.0
1771599600,eth,1962.9
1771603200,btc,67786.5
1771603200,eth,1968.5
1771606800,btc,67607.0
1771606800,eth,1965.5
1771610400,btc,67930.0
1771610400,eth,1974.75
1771614000,btc,67639.0
1771614000,eth,1962.95
1771617600,btc,67722.0
1771617600,eth,1970.1
1771621200,btc,67801.0
1771621200,eth,1973.4
1771624800,btc,68077.0
1771624800,eth,1970.45
1771628400,btc,68017.0
1771628400,eth,1968.55
1771632000,btc,67824.5
1771632000,eth,1962.5
1771635600,btc,67940.5
1771635600,eth,1965.5
1771639200,btc,68004.5
1771639200,eth,1965.4
1771642800,btc,67653.5
1771642800,eth,1958.8
1771646400,btc,67816.5
1771646400,eth,1962.2
1771650000,btc,67852.0
1771650000,eth,1962.6
1771653600,btc,67782.5
1771653600,eth,1960.8
1771657200,btc,67849.0
1771657200,eth,1962.3
1771660800,btc,68051.0
1771660800,eth,1968.35
1771664400,btc,68140.0
1771664400,eth,1969.9
1771668000,btc,68201.5
1771668000,eth,1973.7
1771671600,btc,68078.5
1771671600,eth,1976.45
1771675200,btc,68206.0
1771675200,eth,1975.5
1771678800,btc,68250.0
1771678800,eth,1981.0
1771682400,btc,68457.0
1771682400,eth,1987.25
1771686000,btc,68614.0
1771686000,eth,1988.0
1771689600,btc,68324.5
1771689600,eth,1985.9
1771693200,btc,68425.5
1771693200,eth,1988.4
1771696800,btc,68579.0
1771696800,eth,1991.75
1771700400,btc,68533.5
1771700400,eth,1988.1
1771704000,btc,68207.0
1771704000,eth,1974.3
1771707600,btc,68375.0
1771707600,eth,1981.4
1771711200,btc,67962.0
1771711200,eth,1974.5
1771714800,btc,67957.5
1771714800,eth,1973.5
1771718400,btc,67913.5
1771718400,eth,1972.15
1771722000,btc,68129.0
1771722000,eth,1976.6
1771725600,btc,67881.0
1771725600,eth,1972.1
1771729200,btc,68007.0
1771729200,eth,1974.4
1771732800,btc,67960.5
1771732800,eth,1973.15
1771736400,btc,67949.5
1771736400,eth,1974.45
1771740000,btc,68010.5
1771740000,eth,1975.4
1771743600,btc,67966.0
1771743600,eth,1976.05
1771747200,btc,67925.0
1771747200,eth,1973.25
1771750800,btc,68034.0
1771750800,eth,1975.45
1771754400,btc,68098.5
1771754400,eth,1977.35
1771758000,btc,68194.5
1771758000,eth,1980.2
1771761600,btc,67923.0
1771761600,eth,1966.2
1771765200,btc,67618.0
1771765200,eth,1950.25
1771768800,btc,67424.0
1771768800,eth,1949.75
1771772400,btc,67667.5
1771772400,eth,1953.25
1771776000,btc,67602.0
1771776000,eth,1951.85
1771779600,btc,67353.0
1771779600,eth,1939.25
1771783200,btc,67400.5
1771783200,eth,1942.1
1771786800,btc,67398.5
1771786800,eth,1942.5
1771790400,btc,67346.0
1771790400,eth,1939.55
1771794000,btc,67580.0
1771794000,eth,1949.1
1771797600,btc,67646.5
1771797600,eth,1957.7
1771801200,btc,67607.0
1771801200,eth,1956.9
1771804800,btc,66696.5
1771804800,eth,1928.1
1771808400,btc,64406.5
1771808400,eth,1854.5
1771812000,btc,64751.5
1771812000,eth,1861.95
1771815600,btc,64903.5
1771815600,eth,1861.5
