ts_us,asset,expiry_us,strike,opt_type,mark_iv,bid_iv,ask_iv,mark_price,underlying_price,delta,open_interest
1761958798916000,btc,1790323200000000,110000,call,46.82,46.4,47.39,0.1985,116069.76,0.63419,12.6
1761958799922000,btc,1763712000000000,110000,call,40.26,39.87,40.93,0.0379,110003.41,0.51906,20.0
1761958797829000,btc,1763107200000000,114000,call,38.62,37.97,38.7,0.0149,109912.85,0.32329,617.1
1761958799922000,btc,1762502400000000,105000,call,40.5,37.43,43.03,0.0496,109805.9,0.8074,127.7
1761958798915000,btc,1762243200000000,115000,call,31.36,29.86,32.54,0.0008,109746.5414,0.05996,1.1
1761958799922000,btc,1762243200000000,104000,call,37.84,,45.43,0.0534,109746.3618,0.93504,0.0
1761958799922000,btc,1762156800000000,109000,call,25.78,22.89,27.92,0.0119,109726.2591,0.63129,25.8
1761958798915000,btc,1762070400000000,118000,call,48.74,,52.03,0.0001,109706.3424,0.00622,27.7
1761958797908000,btc,1762070400000000,107000,call,25.1,,188.14,0.025,109705.8844,0.95352,4.2
1761958797885000,btc,1761984000000000,117000,call,55.28,,98.53,0.0,109686.2429,2e-05,51.2
1761958795883000,btc,1761984000000000,106000,call,46.78,,97.46,0.0336,109685.7901,0.99522,14.6
1761958796988000,eth,1762502400000000,4400,call,61.64,60.99,63.04,0.0018,3850.63,0.05398,3492.0
1761958799470000,eth,1762502400000000,3850,call,60.5,60.01,60.96,0.0318,3850.62,0.51665,1013.0
1761958799470000,eth,1762502400000000,2600,call,114.95,,221.64,0.325,3850.62,0.99629,0.0
1761958799470000,eth,1762243200000000,3825,call,53.57,52.49,55.16,0.0234,3848.3117,0.55759,105.0
1761958798463000,eth,1762156800000000,4150,call,52.04,49.16,54.19,0.0006,3847.5756,0.03482,4.0
1761958799470000,eth,1762156800000000,3800,call,48.44,46.13,51.16,0.0222,3847.5456,0.63427,160.0
1761958796449000,eth,1769760000000000,6000,call,70.7,70.12,71.44,0.0227,3889.1515,0.14522,1003.0
1761958796449000,eth,1769760000000000,3900,call,67.67,66.94,68.21,0.1324,3889.1515,0.56356,180.0
